model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_sym_turns,first_sym_turn,last_sym_turn,sym_coverage,n_gold_symbols
gpt-5.5,low,observational-memory-gpt54-low,cattrs-partial-structuring-recovery,2,found_kept_failed,0,0.9342105263157895,45,17,2,41,0.25,20
gpt-5.5,low,observational-memory-gpt54-low,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9976993865030674,86,5,24,73,0.222,9
gpt-5.5,low,observational-memory-gpt54-low,dynamodb-toolbox-lazy-recursive-schemas,1,found_then_lost,0,0.9861963190184049,94,4,14,17,0.222,9
gpt-5.5,low,observational-memory-gpt54-low,dynamodb-toolbox-lazy-recursive-schemas,2,found_then_lost,0,0.9808282208588958,81,4,19,22,0.222,9
gpt-5.5,low,observational-memory-gpt54-low,fastapi-implicit-head-options,0,found_kept_failed,0,0.9959080893925086,60,20,2,53,0.29,31
gpt-5.5,low,observational-memory-gpt54-low,fastapi-implicit-head-options,1,found_kept_failed,0,0.9943342776203966,76,21,3,74,0.258,31
gpt-5.5,low,observational-memory-gpt54-low,fastapi-implicit-head-options,2,found_kept_failed,0,0.9949638023292414,74,21,3,70,0.258,31
gpt-5.5,low,observational-memory-gpt54-low,httpx-streaming-json-iteration,0,found_then_lost,0,0.9986772486772487,41,10,2,30,0.19,21
gpt-5.5,low,observational-memory-gpt54-low,httpx-streaming-json-iteration,1,solved,1,1.0,29,7,1,27,0.143,21
gpt-5.5,low,observational-memory-gpt54-low,httpx-streaming-json-iteration,2,found_then_lost,0,0.9973544973544973,25,8,1,16,0.143,21
gpt-5.5,low,observational-memory-gpt54-low,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,39,6,17,32,0.149,47
gpt-5.5,low,observational-memory-gpt54-low,kgateway-consistent-hash-policy,1,found_then_lost,0,0.9907407407407407,39,4,14,22,0.149,47
gpt-5.5,low,observational-memory-gpt54-low,kgateway-consistent-hash-policy,2,found_then_lost,0,0.9907407407407407,38,8,3,26,0.128,47
gpt-5.5,low,observational-memory-gpt54-low,mashumaro-flattened-dataclass-fields,0,found_then_lost,0,0.9999002659574469,39,5,17,27,0.077,13
gpt-5.5,low,observational-memory-gpt54-low,mashumaro-flattened-dataclass-fields,1,search_failure,0,0.9998670212765958,45,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt54-low,mashumaro-flattened-dataclass-fields,2,search_failure,0,0.9997340425531915,36,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt54-low,ts-pattern-match-each,0,solved,1,1.0,24,2,8,14,0.333,6
gpt-5.5,low,observational-memory-gpt54-low,ts-pattern-match-each,1,solved,1,1.0,20,2,5,9,0.5,6
gpt-5.5,low,observational-memory-gpt54-low,ts-pattern-match-each,2,solved,1,1.0,26,2,7,13,0.5,6
gpt-5.5,low,observational-memory-gpt54-low,yjs-map-conflict-detection,0,found_then_lost,0,0.9916666666666667,37,6,18,27,0.053,38
gpt-5.5,low,observational-memory-gpt54-low,yjs-map-conflict-detection,1,solved,1,1.0,49,7,15,26,0.105,38
gpt-5.5,low,observational-memory-gpt54-low,yjs-map-conflict-detection,2,found_then_lost,0,0.9958333333333333,32,1,18,18,0.026,38
deepseek-v4-flash,high,baseline,abs-module-cache-flags,0,found_kept_failed,0,0.6956521739130435,101,13,4,86,0.188,48
deepseek-v4-flash,high,baseline,abs-stepped-slices,0,found_then_lost,0,0.6666666666666666,115,11,6,69,0.222,18
deepseek-v4-flash,high,baseline,actionlint-action-pinning-lint,0,solved,1,1.0,101,21,17,87,0.235,34
deepseek-v4-flash,high,baseline,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9985621854780733,207,42,3,206,0.267,30
deepseek-v4-flash,high,baseline,aiomonitor-task-snapshots-diff,0,found_kept_failed,0,0.7540983606557377,46,17,8,43,0.615,39
deepseek-v4-flash,high,baseline,anko-default-function-arguments,0,search_failure,-1,0.0,70,0,,,0.0,14
deepseek-v4-flash,high,baseline,anko-typed-variable-bindings,0,found_kept_failed,0,0.9611650485436893,84,17,39,80,0.138,29
deepseek-v4-flash,high,baseline,arcane-drift-detection-baselines,0,found_kept_failed,0,0.8452380952380952,85,17,17,83,0.721,43
deepseek-v4-flash,high,baseline,arktype-json-schema-refs-dependencies,0,found_then_lost,0,0.9970657276995305,89,2,25,39,0.133,15
deepseek-v4-flash,high,baseline,awilix-async-container-initialization,0,found_kept_failed,0,0.978494623655914,81,29,6,79,0.333,15
deepseek-v4-flash,high,baseline,bandit-incremental-cache-control,0,found_then_lost,0,0.9669421487603306,50,4,6,25,0.333,24
deepseek-v4-flash,high,baseline,bandit-interprocedural-taint-checks,0,found_kept_failed,0,0.9972144846796658,71,11,13,59,0.226,31
deepseek-v4-flash,high,baseline,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9886039886039886,47,3,14,41,0.057,53
deepseek-v4-flash,high,baseline,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.0,34,11,1,33,0.385,39
deepseek-v4-flash,high,baseline,cattrs-partial-structuring-recovery,0,found_kept_failed,0,0.9473684210526315,111,39,18,108,0.25,20
deepseek-v4-flash,high,baseline,clack-async-autocomplete-options,0,search_failure,0,0.9558620689655173,34,0,,,0.0,7
deepseek-v4-flash,high,baseline,claude-code-by-agents-recursive-delegation,0,found_kept_failed,0,0.8421052631578947,32,3,17,29,0.133,15
deepseek-v4-flash,high,baseline,cliffy-config-file-parsing,0,found_kept_failed,0,0.9938524590163934,46,12,11,36,0.292,24
deepseek-v4-flash,high,baseline,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9988090984875551,63,20,22,61,0.174,23
deepseek-v4-flash,high,baseline,dasel-html-document-format,0,found_kept_failed,0,0.9922279792746114,61,20,14,60,0.24,50
deepseek-v4-flash,high,baseline,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9933396764985728,53,36,2,52,0.647,34
deepseek-v4-flash,high,baseline,drizzle-orm-window-function-builders,0,found_kept_failed,0,0.9827586206896551,143,5,17,142,0.476,21
deepseek-v4-flash,high,baseline,dynamodb-toolbox-conditional-attribute-requirements,0,search_failure,0,0.9922958397534669,67,0,,,0.0,1
deepseek-v4-flash,high,baseline,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9992331288343558,276,30,39,239,0.333,9
deepseek-v4-flash,high,baseline,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.5982905982905983,51,14,11,49,0.375,16
deepseek-v4-flash,high,baseline,eicrud-keyset-pagination-cursor,0,found_then_lost,0,0.945054945054945,145,5,33,50,0.2,15
deepseek-v4-flash,high,baseline,etree-xml-diff-patch,0,found_kept_failed,0,0.7910447761194029,60,22,4,59,0.538,65
deepseek-v4-flash,high,baseline,expr-try-catch-errors,0,found_kept_failed,0,0.9988544555649342,50,10,28,49,0.269,26
deepseek-v4-flash,high,baseline,fastapi-deprecation-response-headers,0,found_kept_failed,0,0.966065423417915,77,32,2,73,0.8,10
deepseek-v4-flash,high,baseline,fastapi-implicit-head-options,0,found_kept_failed,0,0.0003147623544224111,24,8,3,21,0.258,31
deepseek-v4-flash,high,baseline,fd-deterministic-multi-key-sorting,0,found_kept_failed,0,0.9671052631578947,97,23,8,89,0.114,44
deepseek-v4-flash,high,baseline,geo-shapeindex-serialization,0,found_kept_failed,0,0.9839486356340289,62,17,4,59,0.846,13
deepseek-v4-flash,high,baseline,go-critic-doc-link-checker,0,found_kept_failed,0,0.0,86,24,10,85,0.206,68
deepseek-v4-flash,high,baseline,go-genai-streamed-function-args,0,found_kept_failed,0,0.9264705882352942,52,8,27,42,0.156,32
deepseek-v4-flash,high,baseline,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.7368421052631579,51,10,3,50,0.269,26
deepseek-v4-flash,high,baseline,goreleaser-retry-publish-auditing,0,found_kept_failed,0,0.46551724137931033,34,8,6,32,0.182,33
deepseek-v4-flash,high,baseline,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9939613526570048,55,25,8,45,0.435,23
deepseek-v4-flash,high,baseline,happy-dom-abort-pending-body-reads,0,found_kept_failed,0,0.9273743016759777,36,8,14,34,0.375,8
deepseek-v4-flash,high,baseline,happy-dom-deterministic-intersectionobserver,0,found_kept_failed,0,0.9565217391304348,37,14,1,36,0.167,6
deepseek-v4-flash,high,baseline,helm-array-merge-strategies,0,found_kept_failed,0,0.0,44,10,4,39,0.289,38
deepseek-v4-flash,high,baseline,helm-unified-manifest-stream,0,found_then_lost,0,0.7142857142857143,63,6,3,32,0.027,37
deepseek-v4-flash,high,baseline,httpx-deterministic-cookie-store,0,found_kept_failed,0,0.9871060171919771,70,25,17,69,0.5,4
deepseek-v4-flash,high,baseline,httpx-multipart-response-parsing,0,found_kept_failed,0,0.9569583931133429,42,13,9,41,0.208,24
deepseek-v4-flash,high,baseline,httpx-streaming-json-iteration,0,found_kept_failed,0,0.9834656084656085,54,16,4,49,0.238,21
deepseek-v4-flash,high,baseline,igel-persist-feature-schema,0,found_kept_failed,0,0.5769230769230769,44,21,10,43,0.346,26
deepseek-v4-flash,high,baseline,ink-grid-box-layout,0,search_failure,0,0.8243243243243243,55,0,,,0.0,6
deepseek-v4-flash,high,baseline,ipython-session-bundle-replay,0,found_kept_failed,0,0.8478260869565217,92,32,2,90,0.469,32
deepseek-v4-flash,high,baseline,katex-multicolumn-array-spans,0,found_then_lost,0,0.9783549783549783,61,5,23,36,0.048,21
deepseek-v4-flash,high,baseline,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.5238095238095238,37,12,3,31,0.371,62
deepseek-v4-flash,high,baseline,kea-atomic-signal-selectors,0,found_then_lost,0,0.9205298013245033,38,1,20,20,0.043,23
deepseek-v4-flash,high,baseline,kgateway-consistent-hash-policy,0,search_failure,-1,0.0,21,0,,,0.0,47
deepseek-v4-flash,high,baseline,kombu-single-active-consumer-priority,0,found_kept_failed,-1,0.0,57,27,6,56,0.574,47
deepseek-v4-flash,high,baseline,kombu-virtual-queue-dead-lettering,0,found_kept_failed,0,0.9885752688172043,82,36,1,81,0.583,36
deepseek-v4-flash,high,baseline,koota-composite-trait-aspects,0,found_kept_failed,0,0.5560538116591929,50,12,13,49,0.304,23
deepseek-v4-flash,high,baseline,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.949748743718593,38,19,10,37,0.103,29
deepseek-v4-flash,high,baseline,koota-entity-snapshot-rollback,0,found_kept_failed,0,0.9923664122137404,52,8,29,40,1.0,1
deepseek-v4-flash,high,baseline,koota-pair-relation-tracking,0,found_kept_failed,0,0.819047619047619,25,3,20,22,0.125,24
deepseek-v4-flash,high,baseline,koota-query-predicates,0,found_kept_failed,0,0.8,51,13,16,50,0.35,20
deepseek-v4-flash,high,baseline,kysely-window-grouping-helpers,0,search_failure,0,0.0,43,0,,,0.0,6
deepseek-v4-flash,high,baseline,langchain-request-coalescing,0,found_kept_failed,0,0.9787234042553191,63,36,1,60,0.681,47
deepseek-v4-flash,high,baseline,mashumaro-flattened-dataclass-fields,0,found_then_lost,0,0.0,40,1,24,24,0.077,13
deepseek-v4-flash,high,baseline,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9963119686323226,27,1,23,23,0.118,17
deepseek-v4-flash,high,baseline,mnamer-daemon-watch-lifecycle,0,found_kept_failed,0,0.9864864864864865,60,38,7,58,0.318,22
deepseek-v4-flash,high,baseline,mobly-grouped-test-barriers,0,found_kept_failed,0,0.9661781285231116,65,24,8,64,0.282,39
deepseek-v4-flash,high,baseline,narwhals-rolling-window-suite,0,found_kept_failed,0,0.9992153785798352,121,37,17,120,0.526,19
deepseek-v4-flash,high,baseline,numba-stencil-boundary-modes,0,found_kept_failed,0,0.9661214953271028,22,6,8,20,0.214,14
deepseek-v4-flash,high,baseline,obsidian-linter-auto-table-of-contents,0,found_then_lost,0,0.6339590443686007,61,5,13,40,0.143,14
deepseek-v4-flash,high,baseline,obsidian-linter-link-format-conversion,0,found_kept_failed,0,0.998320738874895,55,8,15,54,0.053,19
deepseek-v4-flash,high,baseline,obsidian-linter-scoped-ignore-markers,0,found_then_lost,0,0.9716981132075472,55,3,18,30,0.051,39
deepseek-v4-flash,high,baseline,ofetch-per-origin-circuit-breaker,0,found_kept_failed,0,0.9666666666666667,28,9,6,26,0.286,14
deepseek-v4-flash,high,baseline,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.9772727272727273,70,32,6,67,0.579,38
deepseek-v4-flash,high,baseline,opa-rego-rule-profiling,0,found_kept_failed,0,0.5806451612903226,75,34,2,74,0.811,37
deepseek-v4-flash,high,baseline,opa-template-string-reconstruction,0,found_kept_failed,0,0.4444444444444444,67,9,5,65,0.185,27
deepseek-v4-flash,high,baseline,optique-conditional-option-dependencies,0,found_kept_failed,0,0.9826086956521739,10,1,8,8,0.067,15
deepseek-v4-flash,high,baseline,oxvg-structural-selector-preservation,0,found_kept_failed,-1,0.0,26,7,19,25,0.019,54
deepseek-v4-flash,high,baseline,participle-grammar-conflict-analysis,0,found_kept_failed,0,0.6844262295081968,75,48,4,74,0.521,48
deepseek-v4-flash,high,baseline,pebble-durability-wait-apis,0,found_kept_failed,0,0.5728155339805825,133,36,4,130,0.667,36
deepseek-v4-flash,high,baseline,pest-character-class-coalescing,0,found_kept_failed,0,0.8248587570621468,91,15,14,90,0.217,23
deepseek-v4-flash,high,baseline,prometheus-transactional-reload-status,0,found_kept_failed,0,0.9690721649484536,88,3,32,66,0.5,4
deepseek-v4-flash,high,baseline,prometheus-typed-label-sorting,0,found_then_lost,0,0.8,109,2,11,46,0.023,44
deepseek-v4-flash,high,baseline,psd-tools-blend-range-api,0,found_kept_failed,0,0.9892578125,28,17,4,27,0.828,29
deepseek-v4-flash,high,baseline,pwntools-tube-multiplexing,0,found_kept_failed,0,0.35135135135135137,55,45,1,54,0.735,34
deepseek-v4-flash,high,baseline,python-statemachine-state-data-scoping,0,found_kept_failed,0,0.9749631811487481,53,25,1,50,0.368,68
deepseek-v4-flash,high,baseline,query-persist-restored-query-state,0,search_failure,0,0.98,47,0,,,0.0,13
deepseek-v4-flash,high,baseline,quill-shared-toolbar-focus,0,found_kept_failed,0,0.8285714285714286,62,11,12,52,0.111,27
deepseek-v4-flash,high,baseline,returns-validated-error-accumulation,0,found_kept_failed,0,0.9727272727272728,61,44,4,60,0.911,45
deepseek-v4-flash,high,baseline,scc-bounded-memory-spilling,0,found_then_lost,0,0.9779179810725552,47,1,18,18,0.044,45
deepseek-v4-flash,high,baseline,scriggo-method-declarations,0,found_kept_failed,0,0.7739288969917958,46,17,1,40,0.13,54
deepseek-v4-flash,high,baseline,skrub-duration-encoding,0,found_kept_failed,0,0.9934797529169527,62,28,4,60,0.277,47
deepseek-v4-flash,high,baseline,sql-formatter-bigquery-pipe-formatting,0,found_then_lost,0,0.999128160418483,53,1,14,14,0.25,4
deepseek-v4-flash,high,baseline,sqlfmt-create-table-ddl-formatting,0,found_kept_failed,0,0.9793103448275862,43,7,18,33,0.316,38
deepseek-v4-flash,high,baseline,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.0,42,12,3,33,0.605,38
deepseek-v4-flash,high,baseline,superjson-error-stack-serialization,0,found_kept_failed,0,0.8775510204081632,55,13,7,52,0.5,22
deepseek-v4-flash,high,baseline,task-task-graph-export,0,found_kept_failed,0,0.8378378378378378,75,18,10,73,0.522,23
deepseek-v4-flash,high,baseline,tengo-callable-instance-isolation,0,found_kept_failed,0,0.9586206896551724,53,14,8,50,0.122,41
deepseek-v4-flash,high,baseline,tengo-destructuring-bindings,0,found_kept_failed,0,0.0,61,20,5,60,0.394,33
deepseek-v4-flash,high,baseline,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.9344262295081968,72,21,5,71,0.621,29
deepseek-v4-flash,high,baseline,testem-bail-on-test-failure,0,found_kept_failed,0,0.9792746113989638,58,11,15,45,0.778,9
deepseek-v4-flash,high,baseline,testem-per-launcher-reports,0,found_kept_failed,0,0.9700374531835206,41,8,10,39,0.625,8
deepseek-v4-flash,high,baseline,textual-kitty-key-phases,0,found_kept_failed,0,0.85,72,32,9,67,0.34,50
deepseek-v4-flash,high,baseline,textual-richlog-follow-state,0,found_kept_failed,0,0.9230769230769231,67,25,1,64,0.319,47
deepseek-v4-flash,high,baseline,tomlkit-toml-table-converters,0,found_kept_failed,0,0.9970703125,53,20,1,52,0.4,20
deepseek-v4-flash,high,baseline,true-myth-iterable-collection-combinators,0,found_then_lost,0,0.9984779299847792,97,4,25,55,0.5,2
deepseek-v4-flash,high,baseline,ts-pattern-match-each,0,found_kept_failed,0,0.06593406593406594,57,12,8,49,0.5,6
deepseek-v4-flash,high,baseline,updo-policy-alerting,0,found_kept_failed,0,0.9785714285714285,58,12,7,57,0.452,42
deepseek-v4-flash,high,baseline,valibot-recursive-schema-composition,0,found_kept_failed,0,0.954337899543379,56,24,6,52,0.294,17
deepseek-v4-flash,high,baseline,vitest-duration-sharding,0,found_kept_failed,0,0.8625,86,22,4,84,0.28,25
deepseek-v4-flash,high,baseline,vulture-persistent-analysis-cache,0,found_kept_failed,0,0.9717868338557993,81,21,2,78,0.14,43
deepseek-v4-flash,high,baseline,wasmi-trap-coredumps,0,found_kept_failed,-1,0.0,32,4,17,31,0.175,40
deepseek-v4-flash,high,baseline,wazero-multi-module-snapshots,0,solved,1,1.0,54,12,14,52,0.69,42
deepseek-v4-flash,high,baseline,yaegi-go-embed-directives,0,found_kept_failed,0,0.0,60,9,29,55,0.543,35
deepseek-v4-flash,high,baseline,yjs-map-conflict-detection,0,found_kept_failed,0,0.9958333333333333,90,4,5,78,0.053,38
deepseek-v4-flash,high,baseline,ytt-jsonpath-query-api,0,found_kept_failed,0,0.9807692307692307,51,7,2,50,0.167,66
deepseek-v4-flash,high,observational-memory,abs-module-cache-flags,0,found_kept_failed,0,0.9565217391304348,154,9,8,148,0.146,48
deepseek-v4-flash,high,observational-memory,abs-stepped-slices,0,found_then_lost,0,0.4166666666666667,70,7,15,35,0.278,18
deepseek-v4-flash,high,observational-memory,actionlint-action-pinning-lint,0,solved,1,1.0,74,21,10,62,0.353,34
deepseek-v4-flash,high,observational-memory,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.0,53,13,2,52,0.4,30
deepseek-v4-flash,high,observational-memory,aiomonitor-task-snapshots-diff,0,found_kept_failed,0,0.7213114754098361,57,26,8,55,0.641,39
deepseek-v4-flash,high,observational-memory,anko-default-function-arguments,0,search_failure,0,0.9917355371900827,109,0,,,0.0,14
deepseek-v4-flash,high,observational-memory,anko-typed-variable-bindings,0,found_kept_failed,0,0.970873786407767,81,27,12,79,0.138,29
deepseek-v4-flash,high,observational-memory,arcane-drift-detection-baselines,0,found_kept_failed,0,0.9880952380952381,104,14,23,102,0.744,43
deepseek-v4-flash,high,observational-memory,arktype-json-schema-refs-dependencies,0,found_then_lost,0,0.9982394366197183,97,4,26,44,0.2,15
deepseek-v4-flash,high,observational-memory,awilix-async-container-initialization,0,found_kept_failed,0,0.967741935483871,79,52,7,78,0.4,15
deepseek-v4-flash,high,observational-memory,bandit-incremental-cache-control,0,found_then_lost,0,0.9449035812672176,63,6,9,38,0.417,24
deepseek-v4-flash,high,observational-memory,bandit-interprocedural-taint-checks,0,found_then_lost,0,0.8857938718662952,80,12,11,56,0.097,31
deepseek-v4-flash,high,observational-memory,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9914529914529915,79,13,12,76,0.094,53
deepseek-v4-flash,high,observational-memory,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,-1,0.0,155,42,8,152,0.385,39
deepseek-v4-flash,high,observational-memory,cattrs-partial-structuring-recovery,0,found_kept_failed,0,0.13157894736842105,62,32,5,61,0.25,20
deepseek-v4-flash,high,observational-memory,clack-async-autocomplete-options,0,search_failure,0,0.9710344827586207,71,0,,,0.0,7
deepseek-v4-flash,high,observational-memory,claude-code-by-agents-recursive-delegation,0,found_then_lost,0,0.8421052631578947,72,2,34,35,0.067,15
deepseek-v4-flash,high,observational-memory,cliffy-config-file-parsing,0,found_kept_failed,0,0.9959016393442623,79,16,7,76,0.208,24
deepseek-v4-flash,high,observational-memory,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9990472787900441,48,10,26,46,0.478,23
deepseek-v4-flash,high,observational-memory,dasel-html-document-format,0,found_kept_failed,0,0.697754749568221,71,17,16,62,0.2,50
deepseek-v4-flash,high,observational-memory,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9952426260704091,94,64,2,92,0.676,34
deepseek-v4-flash,high,observational-memory,drizzle-orm-window-function-builders,0,found_then_lost,0,0.9396551724137931,54,4,14,22,0.476,21
deepseek-v4-flash,high,observational-memory,dynamodb-toolbox-conditional-attribute-requirements,0,search_failure,0,0.9953775038520801,88,0,,,0.0,1
deepseek-v4-flash,high,observational-memory,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9976993865030674,164,19,27,161,0.222,9
deepseek-v4-flash,high,observational-memory,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.5982905982905983,193,29,8,191,0.375,16
deepseek-v4-flash,high,observational-memory,eicrud-keyset-pagination-cursor,0,solved,1,1.0,111,3,18,82,0.2,15
deepseek-v4-flash,high,observational-memory,etree-xml-diff-patch,0,found_kept_failed,0,0.2537313432835821,67,19,2,64,0.492,65
deepseek-v4-flash,high,observational-memory,expr-try-catch-errors,0,found_kept_failed,0,0.9987941637525624,73,17,12,59,0.346,26
deepseek-v4-flash,high,observational-memory,fastapi-deprecation-response-headers,0,found_kept_failed,0,0.979822684194436,106,28,2,100,0.8,10
deepseek-v4-flash,high,observational-memory,fastapi-implicit-head-options,0,found_kept_failed,0,0.9971671388101983,220,70,4,219,0.323,31
deepseek-v4-flash,high,observational-memory,fd-deterministic-multi-key-sorting,0,solved,1,1.0,87,14,8,74,0.136,44
deepseek-v4-flash,high,observational-memory,geo-shapeindex-serialization,0,found_kept_failed,0,0.9839486356340289,52,16,5,49,0.846,13
deepseek-v4-flash,high,observational-memory,go-critic-doc-link-checker,0,found_kept_failed,0,0.8947368421052632,104,33,31,97,0.191,68
deepseek-v4-flash,high,observational-memory,go-genai-streamed-function-args,0,found_kept_failed,0,0.9264705882352942,107,11,6,104,0.188,32
deepseek-v4-flash,high,observational-memory,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.5263157894736842,81,8,34,67,0.308,26
deepseek-v4-flash,high,observational-memory,goreleaser-retry-publish-auditing,0,found_kept_failed,0,0.6206896551724138,89,18,7,87,0.242,33
deepseek-v4-flash,high,observational-memory,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9951690821256038,82,34,8,81,0.435,23
deepseek-v4-flash,high,observational-memory,happy-dom-abort-pending-body-reads,0,found_kept_failed,0,0.994413407821229,73,16,19,71,0.5,8
deepseek-v4-flash,high,observational-memory,happy-dom-deterministic-intersectionobserver,0,found_kept_failed,0,0.8695652173913043,59,27,2,57,0.167,6
deepseek-v4-flash,high,observational-memory,helm-array-merge-strategies,0,found_kept_failed,0,0.7627118644067796,111,30,15,109,0.316,38
deepseek-v4-flash,high,observational-memory,helm-unified-manifest-stream,0,solved,1,1.0,145,17,1,126,0.162,37
deepseek-v4-flash,high,observational-memory,httpx-deterministic-cookie-store,0,found_kept_failed,0,0.995702005730659,93,41,16,91,0.75,4
deepseek-v4-flash,high,observational-memory,httpx-multipart-response-parsing,0,found_kept_failed,0,0.9978479196556671,46,12,7,44,0.25,24
deepseek-v4-flash,high,observational-memory,httpx-streaming-json-iteration,0,found_kept_failed,0,0.998015873015873,55,20,1,52,0.286,21
deepseek-v4-flash,high,observational-memory,igel-persist-feature-schema,0,found_kept_failed,0,0.07692307692307693,105,22,11,102,0.346,26
deepseek-v4-flash,high,observational-memory,ink-grid-box-layout,0,found_then_lost,0,0.6891891891891891,75,2,16,21,0.167,6
deepseek-v4-flash,high,observational-memory,ipython-session-bundle-replay,0,found_kept_failed,0,0.9130434782608695,84,26,0,83,0.469,32
deepseek-v4-flash,high,observational-memory,katex-multicolumn-array-spans,0,found_kept_failed,0,0.9812409812409812,127,10,61,105,0.095,21
deepseek-v4-flash,high,observational-memory,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.3333333333333333,61,18,4,59,0.355,62
deepseek-v4-flash,high,observational-memory,kea-atomic-signal-selectors,0,found_then_lost,0,0.9668874172185431,102,6,11,64,0.174,23
deepseek-v4-flash,high,observational-memory,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,112,15,15,109,0.17,47
deepseek-v4-flash,high,observational-memory,kombu-single-active-consumer-priority,0,found_kept_failed,0,0.9926958831341302,125,54,4,123,0.66,47
deepseek-v4-flash,high,observational-memory,kombu-virtual-queue-dead-lettering,0,found_kept_failed,0,0.9791666666666666,60,24,1,58,0.583,36
deepseek-v4-flash,high,observational-memory,koota-composite-trait-aspects,0,found_kept_failed,0,0.905829596412556,93,33,12,91,0.435,23
deepseek-v4-flash,high,observational-memory,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.9095477386934674,104,54,14,103,0.138,29
deepseek-v4-flash,high,observational-memory,koota-entity-snapshot-rollback,0,found_kept_failed,0,0.9770992366412213,64,6,29,63,1.0,1
deepseek-v4-flash,high,observational-memory,koota-pair-relation-tracking,0,found_kept_failed,0,0.9666666666666667,237,48,23,235,0.375,24
deepseek-v4-flash,high,observational-memory,koota-query-predicates,0,found_kept_failed,0,0.9627906976744186,166,65,16,165,0.55,20
deepseek-v4-flash,high,observational-memory,kysely-window-grouping-helpers,0,search_failure,0,0.07971014492753623,107,0,,,0.0,6
deepseek-v4-flash,high,observational-memory,langchain-request-coalescing,0,found_kept_failed,0,0.9929078014184397,90,49,1,88,0.702,47
deepseek-v4-flash,high,observational-memory,mashumaro-flattened-dataclass-fields,0,found_kept_failed,0,0.9996675531914894,109,6,18,89,0.077,13
deepseek-v4-flash,high,observational-memory,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9997864823945029,113,14,22,104,0.235,17
deepseek-v4-flash,high,observational-memory,mnamer-daemon-watch-lifecycle,0,found_kept_failed,0,0.9945945945945946,78,34,10,76,0.455,22
deepseek-v4-flash,high,observational-memory,mobly-grouped-test-barriers,0,found_kept_failed,0,0.9909808342728298,56,19,10,54,0.308,39
deepseek-v4-flash,high,observational-memory,narwhals-rolling-window-suite,0,solved,1,1.0,128,42,26,127,0.421,19
deepseek-v4-flash,high,observational-memory,numba-stencil-boundary-modes,0,found_then_lost,0,0.9824766355140186,50,2,15,16,0.143,14
deepseek-v4-flash,high,observational-memory,obsidian-linter-auto-table-of-contents,0,found_kept_failed,0,0.9650170648464164,81,7,24,80,0.143,14
deepseek-v4-flash,high,observational-memory,obsidian-linter-link-format-conversion,0,found_then_lost,0,0.9991603694374476,50,3,8,28,0.053,19
deepseek-v4-flash,high,observational-memory,obsidian-linter-scoped-ignore-markers,0,found_then_lost,0,0.9716981132075472,40,7,12,24,0.077,39
deepseek-v4-flash,high,observational-memory,ofetch-per-origin-circuit-breaker,0,found_then_lost,0,0.95,70,13,7,37,0.286,14
deepseek-v4-flash,high,observational-memory,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.8068181818181818,79,31,5,77,0.658,38
deepseek-v4-flash,high,observational-memory,opa-rego-rule-profiling,0,found_kept_failed,-1,0.0,34,8,8,32,0.135,37
deepseek-v4-flash,high,observational-memory,opa-template-string-reconstruction,0,found_kept_failed,0,0.8888888888888888,171,21,6,168,0.111,27
deepseek-v4-flash,high,observational-memory,optique-conditional-option-dependencies,0,found_kept_failed,0,0.8328502415458937,62,14,13,55,0.2,15
deepseek-v4-flash,high,observational-memory,oxvg-structural-selector-preservation,0,found_kept_failed,0,0.9117647058823529,142,12,45,126,0.019,54
